"Timestamp","انا من محافظة .........","من انت / انتى  ؟","الفئة العمرية (عندك كام سنة )","المستوى التعليمى ","النوع ","هل ترى ان اسعار السلع الغذائية  تزيد","هل ترى ان مستوى دخلك الشهرى يتناسب مع الزيادة المستمرة فى الاسعار .","هل ترى ان نسبة الزيادة و الارتفاع فى الاسعار للسلع الغذائية.","ما هى السلع الغذائية  التى ترى ان سعرها مرتفع بدرجة هو عالية جدا (يمكنك اختيار اكثر من سلعة )","اكتب شكوى او اذكر موقف  للغش التجارى و غلاء و ارتفاع الاسعار حدث معك عند شراء سلعة غذائية .","اكتب بعض الحلول او المقترحات لحل مشكلة ارتفاع و غلاء الاسعار  للسلع الغذائية . "
"2023/11/19 6:54:28 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ١٥ الى ٢٠ سنة","بكالوريوس جامعى","أنثى","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","لا يوجد ",""
"2023/11/19 6:56:45 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","أنثى","كل يوم","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة","السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );سلع السوبر ماركت بجميع انواعها .","",""
"2023/11/19 6:56:49 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ١٥ الى ٢٠ سنة","ثانوى عام","أنثى","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","لا يوجد ","لا يوجد "
"2023/11/19 7:00:02 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل ٦ شهور","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة جدا","سلع السوبر ماركت بجميع انواعها .","محصلش معايا موقف زي كدا","نمشيها بالحب"
"2023/11/19 7:03:03 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ١٥ الى ٢٠ سنة","بكالوريوس جامعى","أنثى","كل شهر","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","الخضراوات;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","استغلال التجار للوضع الحالي وزيادة اسعار السلع بشكل مبالغ فيه من تاجر لاخر","يجب ان تكون يكتب  سعر السلعة عليها حتي لايقوم التجار بالاستغلال الوضع ."
"2023/11/19 7:03:19 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل اسبوع","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة جدا","جميعهم ","حرف مسطرة T ب ٨٠ جنيه روحت مكتبة اشتريها بيقولي ب ١١٥ جنيه","كل واحد يراعي ضميرة"
"2023/11/19 7:06:35 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","أنثى","كل يوم","ربما (دخلى الشهرى يكفينى و لكن ليس بالدرجة المطلوبة لاشباع احتياجاتى الكاملة )","مرتفعة","الخضراوات;الفاكهة;السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الاعشاب و التوابل;الدقيق و الخبز و اى مخبوزات اخرى;البقوليات و الحبوب (مثل الفول و العدس و الفاصوليا و غيرها );المياة الغذائية و العصائر و المشروبات الساخنة;سلع السوبر ماركت بجميع انواعها .","كنت شوفت سعر على النت ان السكر ب ٢٧ جنية  و روحت للتاجر لقيتو تجارى ب ٤٧ و للمستهلك ب ٥٥ جنية

و ايضا  كيلو الارز مفروض يكون ٢١ جنية للمستهلك وجدناه ب ٤٠ جنية الكيلو 

كيلو الفراخ ب ٨٠ جنية  و كيلو اللحمة المجمدة ب ٢٤٠ جنية 

و السمك كل يوم سعرو يزيد    مش بينزل سعرو الا لما يكون بايت و بقالو اكتر من يوم عند التاجر 

","تنزيل قائمة اسعار ثابتة على كل منفذ بيع 
او عمل اعلانات على التلفيزيون بالاسعار 
او عمل موقع الكترونى او تطبيق  على الهاتف  معروض فية الاسعار 
و اى منفذ بيع يخالف الاسعار الموضوعة  يدفع غرامة مالية
 صندوق شكاوى لكل بلد او كل قرية او مدينة   و حد يكون مسؤول عن الصندوق و يقرأو بأهتمام 
"
"2023/11/19 7:08:20 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٢١ الى ٣٠ سنة","بكالوريوس جامعى","ذكر","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","جميعهم","ف المواصلات زيادة الاجره ","المراقبه علي التجار "
"2023/11/19 7:12:20 PM GMT+2","الدقهلية","تاجر / صاحب محل /بائع","من ٣١ الى ٤٠ سنة","دبلومات","أنثى","كل اسبوع","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الارز و الذرة و القمح;الدقيق و الخبز و اى مخبوزات اخرى","السلع غاليه وكمان الصلاحيه منتهيه","جشع التجار المفروض يراعوا ضميرهم"
"2023/11/19 7:18:26 PM GMT+2","الدقهلية","مواطن عادى (مستهلك يشترى فقط )","من ٣١ الى ٤٠ سنة","دبلومات","أنثى","كل يوم","لا (دخلى الشهرى لا يكفينى )","مرتفعة جدا","السلع التموينية;اللحوم و الاسماك و الدواجن;الالبان و الاجبان و البيض و الزبادى;الدقيق و الخبز و اى مخبوزات اخرى","ارتفاع الاسعار كل يوم بسبب التجار","يبقى فى تفيش من المسئول "
